idna_subject,checker_type,destination,source,tested_at,session_id
db6sch102090410.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.828771,c4c2ec5f685ede5058f69f98
db6sch102090412.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.835774,c4c2ec5f685ede5058f69f98
db6sch102090504.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.842750,c4c2ec5f685ede5058f69f98
db6sch102090510.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.849693,c4c2ec5f685ede5058f69f98
db6sch102090512.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.856630,c4c2ec5f685ede5058f69f98
db6sch102090513.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.863661,c4c2ec5f685ede5058f69f98
db6sch102090514.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.870666,c4c2ec5f685ede5058f69f98
db6sch102090519.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.877680,c4c2ec5f685ede5058f69f98
db6sch102090613.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.884731,c4c2ec5f685ede5058f69f98
db6sch102090619.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.891870,c4c2ec5f685ede5058f69f98
db6sch102090810.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.898907,c4c2ec5f685ede5058f69f98
db6sch102090811.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.905963,c4c2ec5f685ede5058f69f98
db6sch102090902.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.913097,c4c2ec5f685ede5058f69f98
db6sch102090905.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.920212,c4c2ec5f685ede5058f69f98
db6sch102090907.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.927341,c4c2ec5f685ede5058f69f98
db6sch102090908.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.934607,c4c2ec5f685ede5058f69f98
db6sch102090910.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.941807,c4c2ec5f685ede5058f69f98
db6sch102090911.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.948936,c4c2ec5f685ede5058f69f98
db6sch102091003.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.956168,c4c2ec5f685ede5058f69f98
db6sch102091007.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.963434,c4c2ec5f685ede5058f69f98
db6sch102091008.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.970668,c4c2ec5f685ede5058f69f98
db6sch102091009.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.977908,c4c2ec5f685ede5058f69f98
db6sch102091011.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.985149,c4c2ec5f685ede5058f69f98
db6sch102091103.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.992403,c4c2ec5f685ede5058f69f98
db6sch102091105.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:23.999734,c4c2ec5f685ede5058f69f98
db6sch102091204.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:24.007005,c4c2ec5f685ede5058f69f98
db6sch102091205.wns.windows.com,AVAILABILITY,origin.list,origin.list,2001-06-21 20:50:24.014290,c4c2ec5f685ede5058f69f98
